date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2
2013-01-31,3,2008-01-31,2013-01-31,1260,1065.966850932891,True,1,risk_on,1.0,1,risk_on,0.9951562217347782,,5.496785489368261e-23,1.0,4.6017179470632705e-35,0.0032291883439792813,0.9951562217347782,0.0016145899212424123
2013-02-28,3,2008-02-28,2013-02-28,1260,519.4891810917534,True,1,risk_on,1.0,1,risk_on,0.9964398647071298,,2.8973073910011224e-54,1.0,1.4676896256262223e-14,6.60198444775029e-17,0.9964398647071298,0.0035601352928848235
2013-03-28,3,2008-03-28,2013-03-28,1260,696.7498523715702,True,0,risk_on,1.0,0,risk_on,0.9964399311492805,,1.0,4.07247714154316e-18,4.160732103264848e-63,0.9964399311492805,0.0035600688507194276,1.831980757333883e-20
2013-04-30,3,2008-04-30,2013-04-30,1259,544.4204970257241,True,0,risk_on,1.0,0,risk_on,0.996700153580073,,1.0,2.7108980302168886e-88,4.683644269488197e-21,0.996700153580073,2.840525458707366e-23,0.0032998464199270735
2013-05-31,3,2008-06-02,2013-05-31,1259,1117.7841251398247,True,0,risk_on,1.0,0,risk_on,0.9956654274713457,,1.0,5.888080108582406e-16,1.1689798420807582e-15,0.9956654274713457,0.0014448890125919223,0.0028896835160641537
2013-06-28,3,2008-06-30,2013-06-28,1259,1038.845738568112,True,0,risk_on,1.0,0,risk_on,0.9977162501365244,,1.0,1.1028259714681555e-45,8.657730811438483e-87,0.9977162501365244,0.002283749863475538,5.882057056453414e-48
2013-07-31,3,2008-07-31,2013-07-31,1259,1186.5409892145613,True,0,risk_on,1.0,0,risk_on,0.9977226978842111,,1.0,3.313845225911116e-62,5.012432483702372e-121,0.9977226978842111,0.0022773021157889,1.7857263302215684e-64
2013-08-30,3,2008-09-02,2013-08-30,1259,1275.2439028702192,True,0,risk_on,1.0,0,risk_on,0.9963048284986809,,1.0,1.608695655236473e-88,2.2018035212565923e-80,0.9963048284986809,1.4513243886579113e-37,0.0036951715013191434
2013-09-30,3,2008-09-30,2013-09-30,1259,1650.7157463473184,True,0,risk_on,1.0,0,risk_on,0.9976556257466213,,1.0,5.0398972120687706e-92,8.527795578200377e-149,0.9976556257466213,0.0023443742533787236,2.3901916839000496e-94
2013-10-31,3,2008-10-31,2013-10-31,1259,1310.164898490744,True,1,risk_on,1.0,1,risk_on,0.9875998290006642,,7.826867891077266e-18,1.0,0.0,0.012400170999335672,0.9875998290006642,0.0
2013-11-29,3,2008-12-01,2013-11-29,1259,1499.3205816693917,True,2,risk_on,1.0,2,risk_on,0.9954571118094783,,0.0,5.2324216652033204e-49,1.0,0.0,0.0045428881905218415,0.9954571118094783
2013-12-31,3,2008-12-31,2013-12-31,1259,115.74928671003349,True,1,risk_on,1.0,1,risk_on,0.9955810324993285,,0.0,1.0,8.810870053299668e-51,0.0,0.9955810324993285,0.004418967500671608
2014-01-31,3,2009-02-02,2014-01-31,1259,-255.47447773085298,True,0,risk_on,1.0,0,risk_on,0.9956913034512859,,1.0,2.3133855089958665e-34,0.0,0.9956913034512859,0.004308696548714176,4.54915350244385e-310
2014-02-28,3,2009-03-02,2014-02-28,1259,-821.3851937340748,True,1,risk_on,1.0,1,risk_on,0.9969008942015616,,9.912486475258845e-17,1.0,8.171290092666306e-296,0.0030991057984385306,0.9969008942015616,2.2769267903033263e-265
2014-03-31,3,2009-03-31,2014-03-31,1259,-1667.8340951978134,True,1,risk_on,1.0,1,risk_on,0.9955634212318765,,4.449829173599937e-16,1.0,5.4525e-320,0.0044365787681239464,0.9955634212318765,2.4497184606572132e-293
2014-04-30,3,2009-04-30,2014-04-30,1259,-2623.434773079883,True,0,risk_on,1.0,0,risk_on,0.9961020015918606,,1.0,1.7379659989216128e-259,1.0116518425887727e-65,0.9961020015918606,4.9831340140015e-216,0.0038979984081394456
2014-05-30,3,2009-06-01,2014-05-30,1259,-3500.0487414164377,True,2,risk_on,1.0,2,risk_on,0.9961606262497649,,1.8517854182252637e-82,1.766738458029903e-88,1.0,0.0038393737502351,1.6518986472111348e-54,0.9961606262497649
2014-06-30,3,2009-06-30,2014-06-30,1259,-4398.996006563956,True,0,risk_on,1.0,0,risk_on,0.9887548605376065,,1.0,1.3193254590473018e-90,2.2758129378169516e-19,0.9887548605376065,0.009370795247114164,0.0018743442152792718
2014-07-31,3,2009-07-31,2014-07-31,1259,-4429.149292119118,True,0,risk_on,1.0,0,risk_on,0.997291652368615,,1.0,1.0271546777790334e-125,9.713244652728604e-102,0.997291652368615,7.743633299772518e-61,0.0027083476313849997
