date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,current_prob_regime_3,current_prob_regime_4,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2,next_prob_regime_3,next_prob_regime_4
2010-12-31,5,2008-01-02,2010-12-31,757,4671.892023453809,True,3,risk_on,1.0,3,risk_on,0.9961682336153996,,2.5190006e-317,1.2578719832143394e-202,0.0,1.0,0.0,2.3720544693465335e-149,1.0991185670394998e-115,0.0,0.9961682336153996,0.0038317663846004577
2011-01-31,5,2008-01-02,2011-01-31,777,4742.401649680759,True,3,risk_on,1.0,3,risk_on,0.9952375613821555,,1.5136547784526438e-109,1.2474165718364103e-187,0.0,1.0,8.128058452788782e-62,6.090209892917632e-64,6.090207498968743e-64,6.090206885925795e-64,0.9952375613821555,0.0047624386178445
2011-02-28,5,2008-01-02,2011-02-28,796,4038.763348605232,True,0,risk_on,1.0,0,risk_on,0.9963498425741233,,1.0,3.038000282317365e-194,2.4453136242998081e-29,0.0,0.0,0.9963498425741233,7.569724030955591e-32,0.003650157425876658,4.746878943714981e-196,4.747188018627145e-196
2011-03-31,5,2008-01-02,2011-03-31,819,4808.9918564339405,True,3,risk_on,1.0,3,risk_on,0.9969671336838895,,9.731331482335544e-36,0.0,2.0230782951529928e-177,1.0,2.2967732357516873e-215,0.0030328663161106055,4.6872936255038285e-217,5.065287934078461e-97,0.9969671336838895,3.920209599240206e-38
2011-04-29,5,2008-01-02,2011-04-29,839,4694.822066255141,True,0,risk_on,1.0,0,risk_on,0.9969974357871462,,1.0,0.0,0.0,4.24892006509424e-21,7.706893956529023e-169,0.9969974357871462,1.5232645973877975e-23,0.0,0.003002564212853746,1.6172028801945542e-72
2011-05-31,5,2008-01-02,2011-05-31,860,4729.332448539994,True,0,risk_on,1.0,0,risk_on,0.9939668868142145,,1.0,0.0,3.479722242704976e-213,1.9806251424240176e-25,6.80763308127301e-231,0.9939668868142145,1.4180520474050867e-232,4.9971643942655554e-116,0.0060331131857854865,6.775754203238978e-28
2011-06-30,5,2008-01-02,2011-06-30,882,5496.056727933219,True,1,risk_on,1.0,1,risk_on,0.9971263069538991,,0.0,1.0,1.2620173042531702e-63,5.964912664895621e-79,1.6247570595787138e-114,1.3846404333661073e-65,0.9971263069538991,0.0028736930461008663,5.507545421213119e-36,1.1075819874733723e-82
2011-07-29,5,2008-01-02,2011-07-29,902,5675.6159982366025,True,2,risk_on,1.0,2,risk_on,0.9972824483030902,,1.0433930831610406e-154,3.2619555188100864e-65,1.0,2.1644478776151097e-230,0.0,2.993577092574926e-67,0.002717551696909814,0.9972824483030902,4.321108183613574e-210,2.993552149250007e-67
2011-08-31,5,2008-01-02,2011-08-31,925,5234.217799487625,True,0,recovery_or_normalization,1.0,0,recovery_or_normalization,0.9916995438913493,,1.0,4.991923015166134e-20,6.489027627213505e-52,1.563430714356194e-256,0.0,0.9916995438913493,0.00415200267582131,0.004148453432829441,1.755855362200448e-169,5.253358542131985e-22
2011-09-30,5,2008-01-02,2011-09-30,946,4330.980159061174,True,1,mixed_or_neutral_1,1.0,1,mixed_or_neutral_1,0.9910970450071531,,2.6606095704657417e-106,1.0,6.1526380363385e-113,0.0,1.3044533990057795e-148,0.005935304385681285,0.9910970450071531,0.00296765060716556,1.336814635266667e-114,1.3404908459947614e-114
2011-10-31,5,2008-01-02,2011-10-31,967,4198.880920970812,True,4,defensive_risk_off,1.0,4,defensive_risk_off,0.9859154937953943,,9.378502968457884e-127,3.064471853853713e-126,1.9994587055557176e-79,5.895152097030503e-68,1.0,1.2900188807875234e-81,3.004171668062365e-70,0.014084506204605655,3.0447232029600583e-58,0.9859154937953943
2011-11-30,5,2008-01-02,2011-11-30,988,4006.827069968142,True,1,risk_on,0.9999991522990013,1,risk_on,0.9957070741285258,,8.262796985823473e-60,0.9999991522990013,0.0,8.477010063358579e-07,1.347869322936763e-87,3.1393684090469356e-09,0.9957070741285258,1.5889477833203227e-61,0.004292922732113397,1.5889477875456877e-61
2011-12-30,5,2008-01-02,2011-12-30,1009,3600.659129956451,True,0,recovery_or_normalization,1.0,0,recovery_or_normalization,0.9958373375456722,,1.0,1.426958722523493e-29,0.0,1.0585244297193842e-45,1.3793598310791828e-302,0.9958373375456722,0.0020859709200735043,2.52027675580406e-47,0.002076691534254329,1.4521396700334673e-276
2012-01-31,5,2008-01-02,2012-01-31,1029,3761.24534051412,True,1,risk_on,1.0,1,risk_on,0.9956854778205657,,0.0,1.0,1.738353595270726e-236,0.0,2.170934085368987e-21,6.817305189211818e-24,0.9956854778205657,2.393756057756891e-209,0.0,0.004314522179434263
2012-02-29,5,2008-01-02,2012-02-29,1049,3835.788807763183,True,0,inflation_rates_shock,1.0,0,inflation_rates_shock,0.9901911948431895,,1.0,4.0256440233610765e-23,0.0,1.0203315754929517e-42,2.188166744757963e-35,0.9901911948431895,1.3134544805647733e-16,1.574862104528821e-37,0.006539203437752671,0.0032696017190577595
2012-03-30,5,2008-01-02,2012-03-30,1071,3615.7476991584417,True,1,risk_on,1.0,1,risk_on,0.9961543274115942,,8.9338234305127e-237,1.0,2.4639854126250613e-35,1.8075051742469469e-267,0.0,8.2426614324541e-38,0.9961543274115942,0.003845672588405778,1.717987058659075e-238,1.7179870540983317e-238
2012-04-30,5,2008-01-02,2012-04-30,1091,3715.107309044274,True,2,risk_on,1.0,2,risk_on,0.9941167916561348,,0.0,7.07452694798343e-125,1.0,5.883703928300094e-143,6.352950844990537e-41,1.9944766529472386e-144,2.1574202677297937e-94,0.9941167916561348,2.0489448087421643e-43,0.00588320834386525
2012-05-31,5,2008-01-02,2012-05-31,1113,3459.3567245248523,True,1,recovery_or_normalization,1.0,1,recovery_or_normalization,0.9873328633642364,,4.149435311133039e-15,1.0,0.0,1.0161085681508602e-123,4.846761644674379e-75,0.0095004229207729,0.9873328633642364,3.4275625114762355e-77,2.7688767394439188e-17,0.003166713714994762
2012-06-29,5,2008-01-02,2012-06-29,1134,3805.980026397169,True,4,recovery_or_normalization,0.9999999997103259,4,recovery_or_normalization,0.9887916190818904,,7.62336393626513e-79,1.6835648146855512e-289,0.0,2.8990049388306746e-10,0.9999999997103259,0.007472177341523573,1.3750727097414405e-141,5.329525549308266e-81,0.0037362035768124906,0.9887916190818904
2012-07-31,5,2008-01-02,2012-07-31,1155,3218.825803722323,True,3,recovery_or_normalization,1.0,3,recovery_or_normalization,0.9923973996510649,,3.0844062330953193e-27,0.0,6.514454671356493e-107,1.0,1.853753732454006e-59,0.005068452515730965,6.077846692109496e-61,3.0389234020044926e-61,0.9923973996510649,0.0025341478332041893
2012-08-31,5,2008-01-02,2012-08-31,1178,3749.516205513182,True,2,risk_on,0.999720057970583,2,risk_on,0.9930063237582706,,0.000279942029615291,2.1001149661601553e-47,0.999720057970583,0.0,2.4203024177293365e-108,0.00475458469896398,0.0022390915429637364,0.9930063237582706,1.5709253433293e-49,1.5709254212621991e-49
2012-09-28,5,2008-01-02,2012-09-28,1197,3621.523114408036,True,0,mixed_or_neutral_0,1.0,0,mixed_or_neutral_0,0.9942197894643212,,1.0,1.0320773595672572e-15,3.8377472005984994e-75,4.275833794489198e-115,0.0,0.9942197894643212,0.0038535029901219406,8.190116180997647e-18,0.001926707545557794,5.9965170504990576e-77
