n_components,n_decision_dates,mean_current_regime_probability,median_current_regime_probability,min_current_regime_probability,n_regime_switches,switch_rate
2,186,0.9996022080967497,1.0,0.9484352613561001,26,0.14054054054054055
3,186,0.9993218661936834,1.0,0.9325177001004067,63,0.34054054054054056
4,186,0.999961609861038,1.0,0.9944875245223278,82,0.44324324324324327
5,186,0.9996795770965303,1.0,0.9407312682195741,105,0.5675675675675675
