date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,current_prob_regime_3,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2,next_prob_regime_3
2013-09-30,4,2008-09-30,2013-09-30,1259,3791.0168863296144,True,1,risk_on,1.0,1,risk_on,0.9962285468639176,,1.2933581009938525e-261,1.0,1.5699731829509655e-26,0.0,6.382032467672998e-198,0.9962285468639176,0.003771453136082501,7.389349411282e-264
2013-10-31,4,2008-10-31,2013-10-31,1259,2768.2826340440715,True,1,risk_on,1.0,1,risk_on,0.9959479947152707,,2.757156377964374e-159,1.0,0.0,0.0,0.004052005284729245,0.9959479947152707,1.1131049249861639e-161,2.0852356962805685e-244
2013-11-29,4,2008-12-01,2013-11-29,1259,2471.254147656878,True,1,risk_on,1.0,1,risk_on,0.9954423000450664,,5.032791299537646e-49,1.0,0.0,0.0,0.004557699954933589,0.9954423000450664,0.0,0.0
2013-12-31,4,2008-12-31,2013-12-31,1259,1134.8874256790232,True,1,risk_on,1.0,1,risk_on,0.9899801526374508,,5.12990504e-316,1.0,6.958954696656568e-30,0.0,1.6187492306876118e-241,0.9899801526374508,0.010019847362549262,2.0480165851571127e-32
2014-01-31,4,2009-02-02,2014-01-31,1259,1462.7070707411297,True,1,risk_on,1.0,1,risk_on,0.9966175118016478,,8.405654678394664e-89,1.0,1.251060308595e-312,1.0407576511904843e-46,1.5168327929040063e-48,0.9966175118016478,5.8687845728379405e-269,0.0033824881983521003
2014-02-28,4,2009-03-02,2014-02-28,1259,798.2581312630758,True,0,inflation_rates_shock,1.0,0,inflation_rates_shock,0.996154750521953,,1.0,1.2857741694922354e-37,1.0112873230302359e-57,2.7178200071358525e-64,0.996154750521953,0.0038452494780470713,3.017887809534186e-39,1.509608594112672e-39
2014-03-31,4,2009-03-31,2014-03-31,1259,743.2054560092066,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9963062199246103,,1.4427649063127902e-70,1.0,0.0,2.6090743934801726e-47,3.780984579686293e-49,0.9963062199246103,0.0,0.0036937800753896366
2014-04-30,4,2009-04-30,2014-04-30,1259,-545.7857633088609,True,0,risk_on,1.0,0,risk_on,0.996172694322461,,1.0,3.1563643492896645e-62,4.370772518801062e-16,1.5172450326594366e-81,0.996172694322461,0.0019126045818722,0.001914701095667156,3.5430843564693275e-64
2014-05-30,4,2009-06-01,2014-05-30,1259,-1187.4898306446821,True,0,risk_on,1.0,0,risk_on,0.9966215411628436,,1.0,1.6262889064707671e-142,8.682690536834269e-207,6.600514418755822e-147,0.9966215411628436,0.0033784588371564457,9.794395007239548e-145,3.1318702685800237e-117
2014-06-30,4,2009-06-30,2014-06-30,1259,-2754.636119691676,True,2,risk_on,1.0,2,risk_on,0.992443129347299,,1.4789181657076133e-94,4.494629324699518e-117,1.0,4.124067885907358e-28,0.003018921387842574,1.5195548150617044e-30,0.992443129347299,0.00453794926485847
