,final_value,cagr,annual_volatility,sharpe_0rf,sortino_0rf,max_drawdown,calmar,total_turnover,total_transaction_costs
Static 60/40,4.192683818238121,0.0978546528350929,0.099674260013778,0.9866680606050924,1.243245688121868,-0.2101748470752465,0.465586887283706,0.0,0.0
Static Equal Weight,2.920392011738749,0.072298329533629,0.07629875863865,0.9531852653489382,1.2241157157698768,-0.2136905797916454,0.3383318516151812,0.0,0.0
HMM K=3 + HRP,4.5211437697789005,0.1032612389407021,0.1265909472744185,0.8397812840643535,1.0636324193738689,-0.2106193940774237,0.4902741240568916,57.82446120258223,0.0289122306012911
HMM K=3 + Inverse Vol,4.72536383476739,0.1064405021126635,0.1274090635145351,0.8577984360224413,1.0810767302103357,-0.2210291806651395,0.4815676454681407,47.64258758924026,0.0238212937946201
HMM K=3 + Risk Parity,4.694568462030976,0.1059694091348508,0.1278349149087926,0.8520364768885178,1.0738062560196733,-0.2220274504899612,0.4772806646250356,48.47840280178294,0.0242392014008914
