date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2,prob_regime_3
2008-01-02,1,recovery_or_normalization,1.3857947040932981e-266,1.0,0.0,0.0
2008-01-03,1,recovery_or_normalization,1.994498027265643e-06,0.999998005498298,3.7895531186031065e-12,4.498497344967203e-20
2008-01-04,1,recovery_or_normalization,4.4079363306692377e-07,0.999999559206214,3.814814916941235e-18,9.84314706181355e-20
2008-01-07,1,recovery_or_normalization,1.0587699764019445e-06,0.9999989412304934,1.1229622926032034e-16,1.389464448946718e-20
2008-01-08,1,recovery_or_normalization,1.684318781044531e-07,0.9999998315688714,5.708713037030904e-23,4.223295917778661e-21
2008-01-09,1,recovery_or_normalization,7.39307892702099e-08,0.9999999260689975,4.821796450724248e-26,3.335659840529061e-23
2008-01-10,1,recovery_or_normalization,7.396413640336902e-08,0.9999999260362556,4.6931714346161017e-20,1.7154184224975907e-23
2008-01-11,1,recovery_or_normalization,1.5036075198366548e-07,0.9999998496387092,2.2625812827019516e-23,1.6462871867895165e-23
2008-01-14,1,recovery_or_normalization,1.8430851185410606e-07,0.9999998156909157,1.2906312005237476e-24,1.4596256100063532e-24
2008-01-15,1,recovery_or_normalization,7.86874182994158e-09,0.9999999921310518,1.7362502033204515e-33,9.198742319340982e-25
2008-01-16,1,recovery_or_normalization,1.2456523844148938e-08,0.9999999875435606,1.8718299535873704e-38,5.488955188690615e-25
2008-01-17,1,recovery_or_normalization,7.739083172797627e-09,0.9999999922602001,4.292925929312362e-46,1.072167481282876e-23
2008-01-18,1,recovery_or_normalization,3.45388239611604e-09,0.9999999965457391,1.0400122573635017e-48,1.264015724118592e-24
2008-01-22,1,recovery_or_normalization,3.964019588095077e-08,0.9999999603605837,2.586462969121745e-51,2.143527645702817e-22
2008-01-23,1,recovery_or_normalization,1.852676706916876e-07,0.9999998147323085,3.2359076170863464e-42,1.6714940176666595e-22
2008-01-24,1,recovery_or_normalization,6.937351059757037e-08,0.9999999306273846,5.468016276798582e-37,3.1958922343235347e-24
2008-01-25,1,recovery_or_normalization,1.0510054313055375e-08,0.9999999894898792,9.44917448759507e-40,3.098856368020296e-24
2008-01-28,1,recovery_or_normalization,5.448182173087107e-08,0.9999999455176308,1.0438491268777594e-36,3.6109251285157185e-23
2008-01-29,1,recovery_or_normalization,2.5162469435643492e-08,0.9999999748379199,6.275511170955478e-35,3.2453665279265614e-24
2008-01-30,1,recovery_or_normalization,7.318673850295192e-08,0.999999926812964,1.2556094931665418e-32,2.397031804646162e-24
2008-01-31,1,recovery_or_normalization,7.528958090446183e-08,0.9999999247102125,1.194874522756724e-29,3.013679805307881e-25
2008-02-01,1,recovery_or_normalization,1.6390033870817742e-07,0.9999998360999732,1.5537064265350948e-25,3.443549441953296e-27
2008-02-04,1,recovery_or_normalization,1.4609775187426244e-08,0.9999999853898771,9.90617366750837e-29,1.1451308462553673e-27
2008-02-05,1,recovery_or_normalization,1.8068850065122083e-08,0.9999999819319784,1.8927438657190834e-40,3.643767944067293e-27
2008-02-06,1,recovery_or_normalization,3.898774061275922e-08,0.9999999610117819,1.6747643188303247e-44,5.87953856182797e-25
