n_components,covariance_type,n_observations,n_features,n_parameters_approx,log_likelihood,aic,bic,converged
2,full,4626,18,381,-20461.113301293655,41684.22660258731,44137.65623069083,True
3,full,4626,18,575,-11748.921171717382,24647.842343434764,28350.52485303981,True
4,full,4626,18,771,-9488.189680084752,20518.379360169503,25483.193646961663,True
5,full,4626,18,969,-4803.213933807715,11544.42786761543,17784.25282728028,True
