regime,n_obs,spy_ret_21d_mean,spy_ret_21d_std,spy_ret_21d_median,spy_ret_63d_mean,spy_ret_63d_std,spy_ret_63d_median,spy_vol_21d_mean,spy_vol_21d_std,spy_vol_21d_median,spy_vol_63d_mean,spy_vol_63d_std,spy_vol_63d_median,spy_drawdown_252d_mean,spy_drawdown_252d_std,spy_drawdown_252d_median,tlt_ret_21d_mean,tlt_ret_21d_std,tlt_ret_21d_median,ief_ret_21d_mean,ief_ret_21d_std,ief_ret_21d_median,hyg_ret_21d_mean,hyg_ret_21d_std,hyg_ret_21d_median,spy_tlt_corr_63d_mean,spy_tlt_corr_63d_std,spy_tlt_corr_63d_median,vix_level_mean,vix_level_std,vix_level_median,vix_change_21d_mean,vix_change_21d_std,vix_change_21d_median,us_10y_change_21d_mean,us_10y_change_21d_std,us_10y_change_21d_median,us_10y_2y_slope_mean,us_10y_2y_slope_std,us_10y_2y_slope_median,breakeven_10y_change_21d_mean,breakeven_10y_change_21d_std,breakeven_10y_change_21d_median,real_yield_10y_change_21d_mean,real_yield_10y_change_21d_std,real_yield_10y_change_21d_median,baa_10y_spread_mean,baa_10y_spread_std,baa_10y_spread_median,baa_10y_spread_change_21d_mean,baa_10y_spread_change_21d_std,baa_10y_spread_change_21d_median,credit_quality_spread_mean,credit_quality_spread_std,credit_quality_spread_median,frequency,suggested_label
0,1141,0.005857751699183871,0.04967267398984171,0.0092284725169151,0.020208544507188213,0.07509312142628523,0.0256967595838231,0.17940515156528425,0.07673900694312043,0.1687207566457614,0.18505495338086442,0.05889396044367134,0.171508664880402,-0.06650037692808643,0.05937800909543617,-0.0502129285437615,-0.00811437168838693,0.04361249515956411,-0.011178426190839,-0.0013914760389425469,0.021658168880164582,-0.0009144667204284,0.0030481156036392914,0.021459347265000532,0.0034870427429989,-0.04810441991487694,0.27788778843231904,-0.0447328529794014,21.3323926524464,5.655959932982475,20.71999931335449,0.21769499214566868,6.411769742552238,-0.0300006866455078,0.05590709903593338,0.2787094099981006,0.0499999999999998,0.15954425942156003,0.49651695878786084,0.26,0.009333917616126208,0.1414024174629828,0.02,0.04657318141980719,0.2552049419641786,0.0100000000000002,1.9958194566170027,0.306070394964524,1.92,0.008711656441717787,0.16244298901398502,0.0,0.9016389132340052,0.19314260532881902,0.91,0.2466493731085171,inflation_rates_shock
1,146,-0.08518597818103635,0.10798109696410049,-0.08193715957952835,-0.1814622290447899,0.09282714860074066,-0.1755105510324301,0.585509530591282,0.23401131950379733,0.5701741303425019,0.4659979955777079,0.15728714104039584,0.4021406420516954,-0.29001501854749795,0.1284248622708772,-0.2845246745127073,0.05426646197990917,0.06617252854087385,0.04003131733023195,0.021264528683064717,0.03179696616955798,0.016272542673313052,-0.06965271724513818,0.0721629160889075,-0.0696402719169143,-0.5478328999416323,0.14095509914259574,-0.527140298252311,50.33746576962406,13.736202550138598,49.505001068115234,9.829246684296491,20.407553792180796,5.950000762939453,-0.2575342465753424,0.4392525966305376,-0.18,1.624109589041096,0.6849904819201572,1.81,-0.381986301369863,0.3539133341468155,-0.36,0.1241095890410959,0.48457257558684075,0.09999999999999995,4.469178082191781,1.121649958827167,4.16,0.6741095890410959,0.6131599006535614,0.5449999999999999,2.1636986301369863,0.8300436330023658,1.92,0.03156074362300043,defensive_risk_off
2,2176,0.0188718881187632,0.023775686695477156,0.019820317344895602,0.053319875031499424,0.03460475602283252,0.0511603996991143,0.1048324769319538,0.03444679853036029,0.10090813812002035,0.1104267567123863,0.024365407210399755,0.11162625622602851,-0.009587279079640595,0.011938299179418762,-0.0050138098795287,0.0030530909144482125,0.03234918358176943,0.00346321258275525,0.0009841067941521514,0.015265537699304967,0.0014504574350565,0.00616660934629472,0.01223947356809906,0.007204625077394351,-0.264717853167256,0.26285537488434874,-0.3029020358653072,14.861594671712202,2.9494680907474877,14.40999984741211,-0.3237821687670315,3.0621807089618347,-0.3600001335144043,0.018368566176470588,0.19702815996871076,0.0099999999999997,1.1705422794117646,0.9309828103430012,1.15,0.005202205882352934,0.1067141654934849,0.0,0.013166360294117649,0.17281214806379966,0.0,2.245983455882353,0.4149241700029081,2.24,-0.033391544117647054,0.10943064859811033,-0.02,0.8091636029411765,0.1515930392320524,0.81,0.47038478166882836,risk_on
3,224,0.04465875829876161,0.0686854810215507,0.04857536955913905,0.042038232232346075,0.14884000474761255,0.06582122681352015,0.29342251777881845,0.09989388858077075,0.2796813368342605,0.41096065991540404,0.1571368628323614,0.39283142033223967,-0.2712825092323745,0.12067635679263021,-0.29350983306987766,-0.008470595403254424,0.0618764729757232,-0.0132325417374696,-0.0008735011430490422,0.026003342258330953,6.834890411067107e-05,0.046507376959004046,0.0635127010199073,0.040152078700375696,-0.3903336307718209,0.11297565156770273,-0.38591590867615255,33.82566968883787,7.5972583631179855,31.844999313354492,-5.1507589391299655,7.85974618050986,-3.75,0.05571428571428571,0.37261339631498597,0.034999999999999754,1.7613839285714286,0.7976289723288633,1.9649999999999999,0.17035714285714285,0.2889176603773103,0.155,-0.11464285714285714,0.28236645264804,-0.08,4.1490625,1.1067844247604763,3.675,-0.38888392857142856,0.3736609634615187,-0.415,2.091205357142857,0.7612444807241998,1.7800000000000002,0.04842196281884998,recovery_or_normalization
4,939,0.0011400136093665332,0.04763902329667007,0.0089936977849875,0.013317705314572648,0.07751702861783275,0.0112532276893499,0.18118837387024825,0.06998709831657567,0.1717117741819889,0.18490978893574186,0.05037822033182546,0.1776800284351807,-0.06633662642589185,0.052112862419169494,-0.0576882487794297,0.011118263464486113,0.036425551037307956,0.0095072650965268,0.009203307185835875,0.017403335093190628,0.0086594146490615,0.004279387108248879,0.02771103350437648,0.005190176035656,-0.5724522114428661,0.14067586222676362,-0.5768037956118669,21.96156548996703,5.462107602293703,21.3700008392334,0.09890308420752052,6.054994211779573,-0.3999996185302805,-0.07576144834930776,0.2300304294425888,-0.0699999999999998,1.7738764643237488,0.5198221051186659,1.67,-0.0013738019169329022,0.16344025269168647,0.0,-0.07438764643237486,0.18996779801375466,-0.08,3.090894568690096,0.2241664221537554,3.12,0.0348136315228967,0.1928294605018579,0.0299999999999998,1.257667731629393,0.17411118280846904,1.28,0.20298313878080415,mixed_or_neutral_4
