date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2
2008-01-02,1,inflation_rates_shock,3.5859987783855984e-145,1.0,0.0
2008-01-03,1,inflation_rates_shock,5.947414812755028e-09,0.9999999940519047,7.354252654340154e-16
2008-01-04,1,inflation_rates_shock,1.7408303582714218e-13,1.0,5.434758140395056e-15
2008-01-07,1,inflation_rates_shock,4.16905148647035e-12,0.999999999996362,1.3948353760585106e-15
2008-01-08,1,inflation_rates_shock,2.463681744341204e-15,1.0,7.763265051414827e-15
2008-01-09,1,inflation_rates_shock,2.6031509322909697e-17,1.0,6.32612444610224e-16
2008-01-10,1,inflation_rates_shock,3.6431286711347034e-13,1.0,7.31055685220377e-17
2008-01-11,1,inflation_rates_shock,5.879237293075251e-17,1.0,1.783952048250687e-16
2008-01-14,1,inflation_rates_shock,2.2113244647034114e-16,1.0,6.380122437487774e-16
2008-01-15,1,inflation_rates_shock,1.4936664279700042e-22,1.0,6.170013637501198e-15
2008-01-16,1,inflation_rates_shock,1.5466337163536984e-26,1.0,9.130542466717768e-14
2008-01-17,1,inflation_rates_shock,1.7535680316036334e-32,0.999999999998181,1.3875756432271994e-12
2008-01-18,1,inflation_rates_shock,1.0785827094365964e-35,1.0,3.537952702797323e-13
2008-01-22,1,inflation_rates_shock,4.407309697831308e-38,0.9999999999872671,1.2499729575587153e-11
2008-01-23,1,inflation_rates_shock,5.807353975608002e-32,0.999999999996362,4.489161088443177e-12
2008-01-24,1,inflation_rates_shock,1.1096661560064792e-28,1.0,6.955905213033329e-13
2008-01-25,1,inflation_rates_shock,7.216077745806282e-30,1.0,1.693569040160082e-13
2008-01-28,1,inflation_rates_shock,1.703299994983527e-28,0.999999999998181,1.88971533076648e-12
2008-01-29,1,inflation_rates_shock,6.290280707367415e-26,1.0,6.103268582700785e-14
2008-01-30,1,inflation_rates_shock,1.9270715937565022e-25,1.0,1.3756662313956222e-14
2008-01-31,1,inflation_rates_shock,2.423227289047782e-23,1.0,2.743635218817381e-15
2008-02-01,1,inflation_rates_shock,5.177499376882304e-21,1.0,1.8923043945613712e-16
