date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2,prob_regime_3,prob_regime_4
2008-02-25,4,mixed_or_neutral_4,1.2713107281640606e-37,2.472027612876888e-13,2.0495628830400662e-55,3.4694646269335236e-25,1.0
2008-02-26,4,mixed_or_neutral_4,3.879734097440329e-36,3.285283236239717e-14,5.519564858051346e-54,2.106291254609923e-25,1.0
2008-02-27,4,mixed_or_neutral_4,2.0748004341948947e-40,3.844499351492926e-15,1.3695356740164874e-51,2.3837059467544933e-27,1.0
2008-02-28,4,mixed_or_neutral_4,5.542773136871824e-39,7.564413857213062e-17,5.773168869414981e-54,5.293315894949384e-28,1.0
2008-02-29,4,mixed_or_neutral_4,3.808966785597729e-36,4.40837973398862e-15,6.294269568362652e-65,8.249848079112191e-25,1.0
2008-03-03,4,mixed_or_neutral_4,6.948615198020312e-39,2.3994941602145275e-15,1.3417394219766277e-60,6.305039055925416e-25,1.0
2008-03-04,4,mixed_or_neutral_4,3.8311367060749875e-42,4.811242405579486e-17,1.7846794466502616e-59,3.2507507247972396e-26,1.0
2008-03-05,4,mixed_or_neutral_4,5.351128445262062e-44,3.536115621425858e-17,6.258048167543906e-62,4.637389678458245e-30,1.0
2008-03-06,4,mixed_or_neutral_4,9.747484070338025e-46,3.669654276286613e-16,4.8022262535575006e-79,6.365372773217578e-29,1.0
2008-03-07,4,mixed_or_neutral_4,2.2655748849786927e-48,1.6814754895626704e-17,9.022099351800382e-88,4.026151689830423e-28,1.0
2008-03-10,4,mixed_or_neutral_4,4.2968344775064376e-49,9.152024765064183e-19,5.276868190111201e-91,1.539496410292535e-30,1.0
2008-03-11,4,mixed_or_neutral_4,9.773353791934863e-45,7.365156643634074e-17,1.3014101405071062e-72,1.6370039681098275e-34,1.0
2008-03-12,4,mixed_or_neutral_4,2.2800083560954155e-46,8.567601137217178e-18,4.1922067911663745e-76,4.41330350850829e-32,1.0
2008-03-13,4,mixed_or_neutral_4,1.1062219193892518e-47,4.0131846988934304e-17,3.4596305059662884e-71,3.296934409689557e-32,1.0
2008-03-14,4,mixed_or_neutral_4,5.18624320449018e-49,6.088898446473781e-17,4.1742495412990104e-71,6.0666327143044724e-34,1.0
2008-03-17,4,mixed_or_neutral_4,1.761557686915166e-42,2.269260047717682e-17,3.491457235610016e-77,1.5774708151708035e-30,1.0
2008-03-18,4,mixed_or_neutral_4,3.960598915376717e-46,5.525301502805215e-16,1.0066674747738279e-63,3.901069013458195e-36,1.0
2008-03-19,4,mixed_or_neutral_4,8.448106547167775e-44,4.780245604441601e-15,4.963356057412122e-72,1.1338615439983342e-31,1.0
2008-03-20,4,mixed_or_neutral_4,1.4086410221639278e-36,3.220204228531995e-16,2.9024679001924943e-65,2.8854240524702383e-28,1.0
2008-03-24,4,mixed_or_neutral_4,1.066468947045491e-38,8.631540168596503e-14,3.151778146942988e-57,1.830126708726505e-30,1.0
2008-03-25,4,mixed_or_neutral_4,1.0546218287720191e-42,2.4595060164243245e-14,1.1154275062929843e-54,7.978446785393957e-30,1.0
2008-03-26,4,mixed_or_neutral_4,6.9787901775791015e-43,3.2320868584219714e-17,6.910587162367438e-58,1.054270193556081e-30,1.0
2008-03-27,4,mixed_or_neutral_4,1.5327316990836418e-45,7.409099313852506e-18,1.011610040757896e-57,4.6671226310636457e-35,1.0
2008-03-28,4,mixed_or_neutral_4,2.2758243003052305e-44,5.818808115951508e-18,3.595264973656753e-64,3.1488276657848994e-36,1.0
2008-03-31,4,mixed_or_neutral_4,3.2449377353365964e-41,3.589257053296732e-17,8.416568825645909e-65,2.0845906923507267e-36,1.0
2008-04-01,4,mixed_or_neutral_4,2.7634211120435777e-43,5.154393160429316e-14,3.9885384187693546e-58,1.583657238498516e-38,1.0
2008-04-02,4,mixed_or_neutral_4,9.104413247086746e-44,6.146644009857969e-13,1.2620763287449509e-57,3.3131831189396485e-33,0.9999999999990905
2008-04-03,4,mixed_or_neutral_4,3.3495035010625517e-44,8.039460955463848e-13,7.914002545121734e-57,3.715921447681906e-30,0.9999999999990905
2008-04-04,4,mixed_or_neutral_4,2.8799999553837146e-39,7.486829943549203e-15,1.517474652629921e-55,6.704632416545523e-29,1.0
