date,regime,regime_label,prob_regime_0,prob_regime_1
2008-01-02,1,risk_on,1.475182775674795e-134,1.0
2008-01-03,1,risk_on,2.7958190408734703e-11,0.9999999999708962
2008-01-04,1,risk_on,2.0383020172189558e-11,0.9999999999781721
2008-01-07,1,risk_on,2.9041967717055526e-11,0.9999999999708962
2008-01-08,1,risk_on,8.47233553459474e-10,0.9999999991523509
2008-01-09,1,risk_on,3.9671641016010745e-09,0.9999999960346031
2008-01-10,1,risk_on,1.3306573989452657e-10,0.9999999998653948
2008-01-11,1,risk_on,6.617157051568945e-11,0.9999999999345164
2008-01-14,1,risk_on,7.526376944061352e-09,0.9999999924730218
2008-01-15,1,risk_on,1.930735463328058e-08,0.9999999806932467
2008-01-16,1,risk_on,1.6101927849423252e-07,0.999999838979433
2008-01-17,1,risk_on,7.857154328275247e-07,0.9999992142841978
2008-01-18,1,risk_on,2.3260985590629964e-08,0.9999999767387637
2008-01-22,1,risk_on,1.0632091529208218e-05,0.9999893679070243
2008-01-23,1,risk_on,3.7970527421998285e-06,0.9999962029468644
2008-01-24,1,risk_on,2.889895449604217e-07,0.9999997110099192
2008-01-25,1,risk_on,9.255306232296028e-08,0.9999999074461855
2008-01-28,1,risk_on,9.872141420596702e-06,0.999990127858454
2008-01-29,1,risk_on,5.7553351069397054e-08,0.9999999424471769
2008-01-30,1,risk_on,8.373438863007439e-10,0.9999999991632649
2008-01-31,1,risk_on,5.323007262908389e-10,0.9999999994688551
2008-02-01,1,risk_on,4.427771605449753e-11,0.9999999999563443
2008-02-04,1,risk_on,1.42321099212204e-11,0.9999999999854481
2008-02-05,1,risk_on,1.1008642956797543e-10,0.9999999998908606
2008-02-06,1,risk_on,5.703009173516588e-10,0.9999999994288373
2008-02-07,1,risk_on,5.227033927444032e-09,0.9999999947722245
2008-02-08,1,risk_on,3.5529691200953246e-10,0.9999999996434781
2008-02-11,1,risk_on,1.4728725472827387e-09,0.9999999985266186
2008-02-12,1,risk_on,8.93286715246295e-11,0.9999999999090505
2008-02-13,1,risk_on,2.4673326402789176e-10,0.9999999997526174
2008-02-14,1,risk_on,1.3089885760636735e-10,0.9999999998690328
2008-02-15,1,risk_on,6.335483659723997e-11,0.9999999999381544
2008-02-19,1,risk_on,1.6484773216479507e-10,0.999999999836291
2008-02-20,1,risk_on,5.607588496397923e-08,0.9999999439241962
2008-02-21,1,risk_on,8.073479852194117e-10,0.9999999991923687
2008-02-22,1,risk_on,3.3403052583197545e-08,0.9999999665960791
2008-02-25,1,risk_on,4.280646815806918e-09,0.9999999957180989
2008-02-26,1,risk_on,2.384460856898629e-10,0.9999999997598934
2008-02-27,1,risk_on,1.2422819040928615e-10,0.9999999998763087
2008-02-28,1,risk_on,2.630876202973004e-11,0.9999999999745341
2008-02-29,1,risk_on,7.546673478258356e-08,0.9999999245337705
2008-03-03,1,risk_on,5.920446701242905e-10,0.9999999994070095
2008-03-04,1,risk_on,2.3474215173860845e-11,0.9999999999781721
2008-03-05,1,risk_on,1.524721178380444e-10,0.9999999998472049
2008-03-06,1,risk_on,1.5034500587310158e-08,0.9999999849642337
2008-03-07,1,risk_on,3.6183352537220615e-08,0.9999999638166635
2008-03-10,1,risk_on,6.022871080250434e-07,0.9999993977146
2008-03-11,1,risk_on,1.2219129054511331e-09,0.9999999987776391
2008-03-12,1,risk_on,8.830174952154138e-09,0.9999999911706254
2008-03-13,1,risk_on,1.3293829359407654e-10,0.9999999998653948
2008-03-14,1,risk_on,3.6128093493433785e-09,0.999999996387487
2008-03-17,1,risk_on,4.620813552276536e-09,0.9999999953797669
2008-03-18,1,risk_on,2.3679351540903073e-09,0.9999999976316758
2008-03-19,1,risk_on,8.25242865571166e-09,0.9999999917490641
2008-03-20,1,risk_on,1.4841984552312153e-10,0.9999999998508429
2008-03-24,1,risk_on,3.6540788704743737e-10,0.9999999996362021
2008-03-25,1,risk_on,2.8535436040151154e-10,0.9999999997162377
2008-03-26,1,risk_on,1.2782497087240003e-11,0.9999999999854481
2008-03-27,1,risk_on,8.289806687070304e-12,0.999999999992724
2008-03-28,1,risk_on,1.0324786532914101e-11,0.9999999999890861
2008-03-31,1,risk_on,3.5551186615038168e-12,0.999999999996362
2008-04-01,1,risk_on,2.816214627148539e-09,0.9999999971842044
2008-04-02,1,risk_on,7.257110462029655e-08,0.9999999274296014
2008-04-03,1,risk_on,3.0982283754477485e-08,0.9999999690189729
2008-04-04,1,risk_on,9.203081527327176e-11,0.9999999999090505
2008-04-07,1,risk_on,1.8491210497897065e-09,0.9999999981519068
2008-04-08,1,risk_on,7.666627922517033e-08,0.9999999233332375
2008-04-09,1,risk_on,1.281470438328207e-07,0.9999998718522047
2008-04-10,1,risk_on,2.118170216846032e-10,0.9999999997889972
2008-04-11,1,risk_on,3.7402556915628117e-10,0.9999999996252882
2008-04-14,1,risk_on,1.2778299825760026e-09,0.9999999987230694
2008-04-15,1,risk_on,5.449408242138928e-09,0.9999999945503077
2008-04-16,1,risk_on,5.866554388049002e-06,0.9999941334453258
2008-04-17,1,risk_on,6.349385265743396e-10,0.9999999993633537
2008-04-18,1,risk_on,5.431555524940822e-10,0.9999999994579412
2008-04-21,1,risk_on,6.199157200013892e-10,0.9999999993815436
2008-04-22,1,risk_on,5.886322526775911e-11,0.9999999999417923
2008-04-23,1,risk_on,1.544445700772593e-11,0.9999999999854481
2008-04-24,1,risk_on,1.7720849541674937e-11,0.9999999999818101
2008-04-25,1,risk_on,6.589815055031905e-11,0.9999999999345164
2008-04-28,1,risk_on,1.758688384701186e-10,0.999999999825377
2008-04-29,1,risk_on,9.075148913515233e-11,0.9999999999090505
2008-04-30,1,risk_on,3.343152865652184e-10,0.999999999665306
2008-05-01,1,risk_on,4.5319380944387177e-10,0.9999999995452526
2008-05-02,1,risk_on,4.0138435055089406e-11,0.9999999999599822
2008-05-05,1,risk_on,8.390548920483842e-11,0.9999999999163265
2008-05-06,1,risk_on,3.771768448089539e-11,0.9999999999636202
2008-05-07,1,risk_on,1.2465176978519632e-10,0.9999999998763087
2008-05-08,1,risk_on,1.3428896270919063e-10,0.9999999998653948
2008-05-09,1,risk_on,1.5713380791211742e-10,0.9999999998435669
2008-05-12,1,risk_on,1.0324318447927023e-10,0.9999999998981366
2008-05-13,1,risk_on,4.2914696246783145e-11,0.9999999999563443
